time_period,flow_breakdown,obs_value,assessment_code
2024-10-01,STATDIFF,-17537.0,3
2024-10-01,TOTEXPSB,120008.0,1
2024-10-01,TOTIMPSB,197026.0,1
2024-11-01,INDPROD,399412.0,1
2024-11-01,REFINOBS,496611.0,1
2024-11-01,STATDIFF,-32156.0,3
2024-11-01,TOTEXPSB,130026.0,1
2024-11-01,TOTIMPSB,197326.0,1
2024-12-01,INDPROD,416988.0,1
2024-12-01,REFINOBS,519936.0,1
2024-12-01,STATDIFF,-13223.0,3
2024-12-01,TOTEXPSB,119361.0,1
2024-12-01,TOTIMPSB,203277.0,1
2025-01-01,INDPROD,407537.0,1
2025-01-01,REFINOBS,487847.0,1
2025-01-01,STATDIFF,-2588.0,3
2025-01-01,TOTEXPSB,121859.0,1
2025-01-01,TOTIMPSB,206130.0,1
2025-02-01,INDPROD,368457.0,1
2025-02-01,REFINOBS,430007.0,1
2025-02-01,STATDIFF,-23783.0,3
2025-02-01,TOTEXPSB,120236.0,1
2025-02-01,TOTIMPSB,169259.0,1
2025-03-01,INDPROD,418136.0,1
2025-03-01,REFINOBS,490719.0,1
2025-03-01,STATDIFF,-13838.0,3
2025-03-01,TOTEXPSB,125346.0,1
2025-03-01,TOTIMPSB,178437.0,1
2025-04-01,INDPROD,404053.0,1
2025-04-01,REFINOBS,482718.0,1
2025-04-01,STATDIFF,-19958.0,3
2025-04-01,TOTEXPSB,116501.0,1
2025-04-01,TOTIMPSB,181002.0,1
2025-05-01,INDPROD,416855.0,1
2025-05-01,REFINOBS,518431.0,1
2025-05-01,STATDIFF,-18423.0,3
2025-05-01,TOTEXPSB,112494.0,1
2025-05-01,TOTIMPSB,194042.0,1
2025-06-01,INDPROD,407397.0,1
2025-06-01,REFINOBS,512858.0,1
2025-06-01,STATDIFF,-17721.0,3
2025-06-01,TOTEXPSB,112873.0,1
2025-06-01,TOTIMPSB,184939.0,1
2025-07-01,INDPROD,422891.0,1
2025-07-01,REFINOBS,526987.0,1
2025-07-01,STATDIFF,-23285.0,3
2025-07-01,TOTEXPSB,109110.0,1
2025-07-01,TOTIMPSB,196174.0,1
2025-08-01,INDPROD,427610.0,1
2025-08-01,REFINOBS,525210.0,1
2025-08-01,STATDIFF,-12647.0,3
2025-08-01,TOTEXPSB,110741.0,1
2025-08-01,TOTIMPSB,194769.0,1
2025-09-01,INDPROD,415333.0,1
2025-09-01,REFINOBS,493933.0,1
2025-09-01,STATDIFF,-10259.0,3
2025-09-01,TOTEXPSB,131098.0,1
2025-09-01,TOTIMPSB,192039.0,1
2025-10-01,INDPROD,429983.0,1
2025-10-01,REFINOBS,481299.0,1
2025-10-01,STATDIFF,-12200.0,3
2025-10-01,TOTEXPSB,127961.0,1
2025-10-01,TOTIMPSB,182832.0,1
2025-11-01,INDPROD,413457.0,1
2025-11-01,REFINOBS,498828.0,1
2025-11-01,STATDIFF,-30494.0,3
2025-11-01,TOTEXPSB,116633.0,1
2025-11-01,TOTIMPSB,173404.0,1
2025-12-01,INDPROD,423302.0,1
2025-12-01,REFINOBS,526549.0,1
2025-12-01,STATDIFF,-25287.0,3
2025-12-01,TOTEXPSB,128516.0,1
2025-12-01,TOTIMPSB,198699.0,1
2026-01-01,INDPROD,422009.0,1
2026-01-01,REFINOBS,509507.0,1
2026-01-01,STATDIFF,-31266.0,3
2026-01-01,TOTEXPSB,128151.0,1
2026-01-01,TOTIMPSB,197622.0,1
2007-01-01,INDPROD,158342.0,1
2007-01-01,REFINOBS,464739.0,1
2007-01-01,TOTEXPSB,294.0,1
2007-01-01,TOTIMPSB,315967.0,1
2007-02-01,INDPROD,143301.0,1
2007-02-01,REFINOBS,404184.0,1
2007-02-01,TOTEXPSB,703.0,1
2007-02-01,TOTIMPSB,253372.0,1
2007-03-01,INDPROD,158697.0,1
2007-03-01,REFINOBS,460039.0,1
2007-03-01,TOTEXPSB,1047.0,1
2007-03-01,TOTIMPSB,320793.0,1
2007-04-01,INDPROD,155407.0,1
2007-04-01,REFINOBS,451360.0,1
2007-04-01,TOTEXPSB,573.0,1
2007-04-01,TOTIMPSB,305431.0,1
2007-05-01,INDPROD,161548.0,1
2007-05-01,REFINOBS,476790.0,1
2007-05-01,TOTEXPSB,1117.0,1
2007-05-01,TOTIMPSB,319040.0,1
2007-06-01,INDPROD,152254.0,1
2007-06-01,REFINOBS,457432.0,1
2007-06-01,TOTEXPSB,1565.0,1
2007-06-01,TOTIMPSB,299477.0,1
2007-07-01,INDPROD,156175.0,1
2007-07-01,REFINOBS,485807.0,1
2007-07-01,TOTEXPSB,822.0,1
2007-07-01,TOTIMPSB,306950.0,1
2007-08-01,INDPROD,154060.0,1
2007-08-01,REFINOBS,486242.0,1
2007-08-01,TOTEXPSB,1307.0,1
2007-08-01,TOTIMPSB,318808.0,1
2007-09-01,INDPROD,147061.0,1
2007-09-01,REFINOBS,456777.0,1
2007-09-01,TOTEXPSB,1013.0,1
2007-09-01,TOTIMPSB,309442.0,1
2007-10-01,INDPROD,155680.0,1
2007-10-01,REFINOBS,462926.0,1
2007-10-01,TOTEXPSB,337.0,1
2007-10-01,TOTIMPSB,303052.0,1
2007-11-01,INDPROD,151021.0,1
2007-11-01,REFINOBS,454535.0,1
2007-11-01,TOTEXPSB,603.0,1
2007-11-01,TOTIMPSB,299338.0,1
2007-12-01,INDPROD,158427.0,1
2007-12-01,REFINOBS,471266.0,1
2007-12-01,TOTEXPSB,626.0,1
2007-12-01,TOTIMPSB,304500.0,1
2008-01-01,INDPROD,158566.0,1
2008-01-01,REFINOBS,458931.0,1
2008-01-01,TOTEXPSB,364.0,1
2008-01-01,TOTIMPSB,312536.0,1
2008-02-01,INDPROD,149297.0,1
2008-02-01,REFINOBS,424130.0,1
